,Position,Track Name,Artist,Streams,URL,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,1,Dynamite,BTS,1869289,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY,0.0112,https://api.spotify.com/v1/audio-analysis/0t1kP63rueHleOhQkYSXFY,0.746,199054,0.765,0t1kP63rueHleOhQkYSXFY,0.0,6,0.0936,-4.41,0,0.0993,114.044,4,https://api.spotify.com/v1/tracks/0t1kP63rueHleOhQkYSXFY,audio_features,spotify:track:0t1kP63rueHleOhQkYSXFY,0.737
1,2,夜に駆ける,YOASOBI,1862246,https://open.spotify.com/track/3dPtXHP0oXQ4HCWHsOA9js,0.00231,https://api.spotify.com/v1/audio-analysis/3dPtXHP0oXQ4HCWHsOA9js,0.67,261013,0.874,3dPtXHP0oXQ4HCWHsOA9js,1.72e-05,8,0.3,-5.221,1,0.0305,130.041,4,https://api.spotify.com/v1/tracks/3dPtXHP0oXQ4HCWHsOA9js,audio_features,spotify:track:3dPtXHP0oXQ4HCWHsOA9js,0.789
2,3,裸の心,Aimyon,1451140,https://open.spotify.com/track/4Jv7U0JJpbQnOrjtDwDZTZ,0.537,https://api.spotify.com/v1/audio-analysis/4Jv7U0JJpbQnOrjtDwDZTZ,0.559,296653,0.448,4Jv7U0JJpbQnOrjtDwDZTZ,1.85e-05,8,0.0915,-4.11,1,0.0275,148.02,4,https://api.spotify.com/v1/tracks/4Jv7U0JJpbQnOrjtDwDZTZ,audio_features,spotify:track:4Jv7U0JJpbQnOrjtDwDZTZ,0.354
3,4,香水,Eito,1426368,https://open.spotify.com/track/2iOvMtA1u9s95NF6mJDOuT,0.824,https://api.spotify.com/v1/audio-analysis/2iOvMtA1u9s95NF6mJDOuT,0.848,252594,0.352,2iOvMtA1u9s95NF6mJDOuT,0.0,3,0.0906,-6.838,1,0.041,121.833,4,https://api.spotify.com/v1/tracks/2iOvMtA1u9s95NF6mJDOuT,audio_features,spotify:track:2iOvMtA1u9s95NF6mJDOuT,0.776
4,5,Make you happy,NiziU,1383687,https://open.spotify.com/track/4FrxgrNbNrdfq8093JaEJf,0.0436,https://api.spotify.com/v1/audio-analysis/4FrxgrNbNrdfq8093JaEJf,0.78,184521,0.885,4FrxgrNbNrdfq8093JaEJf,2.8e-05,7,0.105,-3.745,1,0.122,160.087,4,https://api.spotify.com/v1/tracks/4FrxgrNbNrdfq8093JaEJf,audio_features,spotify:track:4FrxgrNbNrdfq8093JaEJf,0.808
5,6,感電,Kenshi Yonezu,1247957,https://open.spotify.com/track/1rd3RSjrOShIUG8rG9FvDI,0.107,https://api.spotify.com/v1/audio-analysis/1rd3RSjrOShIUG8rG9FvDI,0.633,264533,0.723,1rd3RSjrOShIUG8rG9FvDI,0.0,8,0.0818,-5.733,0,0.143,103.101,4,https://api.spotify.com/v1/tracks/1rd3RSjrOShIUG8rG9FvDI,audio_features,spotify:track:1rd3RSjrOShIUG8rG9FvDI,0.688
6,7,猫 〜THE FIRST TAKE ver.〜,DISH//,1212255,https://open.spotify.com/track/6F0aYmicNttntvth7FXQEx,0.564,https://api.spotify.com/v1/audio-analysis/6F0aYmicNttntvth7FXQEx,0.641,273233,0.576,6F0aYmicNttntvth7FXQEx,0.0,8,0.114,-6.772,1,0.139,77.005,4,https://api.spotify.com/v1/tracks/6F0aYmicNttntvth7FXQEx,audio_features,spotify:track:6F0aYmicNttntvth7FXQEx,0.622
7,8,I Love...,Official HIGE DANdism,1143917,https://open.spotify.com/track/4pRqq3MwcqitKqNO8rOrOb,0.0171,https://api.spotify.com/v1/audio-analysis/4pRqq3MwcqitKqNO8rOrOb,0.54,282027,0.706,4pRqq3MwcqitKqNO8rOrOb,0.0,9,0.225,-5.235,1,0.0543,172.021,4,https://api.spotify.com/v1/tracks/4pRqq3MwcqitKqNO8rOrOb,audio_features,spotify:track:4pRqq3MwcqitKqNO8rOrOb,0.385
8,9,Pretender,Official HIGE DANdism,1114066,https://open.spotify.com/track/15HNdxGKNCIO9pgaY4n7FU,0.047,https://api.spotify.com/v1/audio-analysis/15HNdxGKNCIO9pgaY4n7FU,0.538,326843,0.869,15HNdxGKNCIO9pgaY4n7FU,0.0,8,0.14,-3.464,1,0.0275,91.972,4,https://api.spotify.com/v1/tracks/15HNdxGKNCIO9pgaY4n7FU,audio_features,spotify:track:15HNdxGKNCIO9pgaY4n7FU,0.369
9,10,115万キロのフィルム,Official HIGE DANdism,1107254,https://open.spotify.com/track/278JqkBGkjDovOYAwE8TW7,0.00345,https://api.spotify.com/v1/audio-analysis/278JqkBGkjDovOYAwE8TW7,0.516,324633,0.791,278JqkBGkjDovOYAwE8TW7,0.0,3,0.141,-1.927,1,0.0318,96.921,4,https://api.spotify.com/v1/tracks/278JqkBGkjDovOYAwE8TW7,audio_features,spotify:track:278JqkBGkjDovOYAwE8TW7,0.48
10,11,白日,King Gnu,1000641,https://open.spotify.com/track/4wel6DQu0dMVBRVn2ZTPoy,0.562,https://api.spotify.com/v1/audio-analysis/4wel6DQu0dMVBRVn2ZTPoy,0.605,276373,0.891,4wel6DQu0dMVBRVn2ZTPoy,0.0,1,0.322,-3.242,1,0.115,93.011,4,https://api.spotify.com/v1/tracks/4wel6DQu0dMVBRVn2ZTPoy,audio_features,spotify:track:4wel6DQu0dMVBRVn2ZTPoy,0.697
11,12,Laughter,Official HIGE DANdism,993100,https://open.spotify.com/track/1SdwlHsv8bWHbAlIw5Jfgo,0.023,https://api.spotify.com/v1/audio-analysis/1SdwlHsv8bWHbAlIw5Jfgo,0.396,350300,0.801,1SdwlHsv8bWHbAlIw5Jfgo,0.0,4,0.138,-4.673,1,0.035,159.769,4,https://api.spotify.com/v1/tracks/1SdwlHsv8bWHbAlIw5Jfgo,audio_features,spotify:track:1SdwlHsv8bWHbAlIw5Jfgo,0.366
12,13,snow jam,Rin音,979173,https://open.spotify.com/track/6uUtmCz8XXep7n1QmC1jJG,0.185,https://api.spotify.com/v1/audio-analysis/6uUtmCz8XXep7n1QmC1jJG,0.583,185379,0.627,6uUtmCz8XXep7n1QmC1jJG,0.0,1,0.159,-5.842,1,0.201,172.016,4,https://api.spotify.com/v1/tracks/6uUtmCz8XXep7n1QmC1jJG,audio_features,spotify:track:6uUtmCz8XXep7n1QmC1jJG,0.805
13,14,Walking with you,Novelbright,952639,https://open.spotify.com/track/7tGDXCPLpAScEwmqab9YZd,0.00585,https://api.spotify.com/v1/audio-analysis/7tGDXCPLpAScEwmqab9YZd,0.422,223187,0.969,7tGDXCPLpAScEwmqab9YZd,0.0,7,0.533,-0.824,1,0.0591,92.524,4,https://api.spotify.com/v1/tracks/7tGDXCPLpAScEwmqab9YZd,audio_features,spotify:track:7tGDXCPLpAScEwmqab9YZd,0.496
14,15,キンモクセイ,オレンジスパイニクラブ,945833,https://open.spotify.com/track/4KyCrwLEWoGHJwobxc55oe,0.0991,https://api.spotify.com/v1/audio-analysis/4KyCrwLEWoGHJwobxc55oe,0.554,231436,0.761,4KyCrwLEWoGHJwobxc55oe,0.0,5,0.145,-3.937,1,0.034,105.041,4,https://api.spotify.com/v1/tracks/4KyCrwLEWoGHJwobxc55oe,audio_features,spotify:track:4KyCrwLEWoGHJwobxc55oe,0.327
15,16,群青,YOASOBI,937535,https://open.spotify.com/track/0T4AitQuq8IJhWBWuZwkFA,0.321,https://api.spotify.com/v1/audio-analysis/0T4AitQuq8IJhWBWuZwkFA,0.719,248444,0.87,0T4AitQuq8IJhWBWuZwkFA,0.0,10,0.187,-3.073,1,0.0472,134.979,4,https://api.spotify.com/v1/tracks/0T4AitQuq8IJhWBWuZwkFA,audio_features,spotify:track:0T4AitQuq8IJhWBWuZwkFA,0.732
16,17,春を告げる,yama,933687,https://open.spotify.com/track/2Gmyw5Vg2X5YW2lM3OC7nD,0.0397,https://api.spotify.com/v1/audio-analysis/2Gmyw5Vg2X5YW2lM3OC7nD,0.548,196497,0.871,2Gmyw5Vg2X5YW2lM3OC7nD,0.0,11,0.357,-5.377,1,0.123,120.009,4,https://api.spotify.com/v1/tracks/2Gmyw5Vg2X5YW2lM3OC7nD,audio_features,spotify:track:2Gmyw5Vg2X5YW2lM3OC7nD,0.487
17,18,Neko,DISH//,870684,https://open.spotify.com/track/3NP2nqAgMELIV3MAhrFNMx,0.113,https://api.spotify.com/v1/audio-analysis/3NP2nqAgMELIV3MAhrFNMx,0.505,276040,0.769,3NP2nqAgMELIV3MAhrFNMx,0.0,3,0.0828,-5.326,1,0.0363,154.046,4,https://api.spotify.com/v1/tracks/3NP2nqAgMELIV3MAhrFNMx,audio_features,spotify:track:3NP2nqAgMELIV3MAhrFNMx,0.537
18,19,ハルジオン,YOASOBI,856947,https://open.spotify.com/track/7HneEBTvTra2CRYsxgMOAi,0.0591,https://api.spotify.com/v1/audio-analysis/7HneEBTvTra2CRYsxgMOAi,0.686,198000,0.902,7HneEBTvTra2CRYsxgMOAi,0.0,0,0.333,-2.657,0,0.034,130.02,4,https://api.spotify.com/v1/tracks/7HneEBTvTra2CRYsxgMOAi,audio_features,spotify:track:7HneEBTvTra2CRYsxgMOAi,0.901
19,20,Shukumei,Official HIGE DANdism,850755,https://open.spotify.com/track/0XaHPBAzPAC5ubwcRBqc1p,0.0152,https://api.spotify.com/v1/audio-analysis/0XaHPBAzPAC5ubwcRBqc1p,0.547,280856,0.577,0XaHPBAzPAC5ubwcRBqc1p,0.0,5,0.109,-6.087,1,0.0336,164.032,4,https://api.spotify.com/v1/tracks/0XaHPBAzPAC5ubwcRBqc1p,audio_features,spotify:track:0XaHPBAzPAC5ubwcRBqc1p,0.494
20,21,点描の唄,Mrs. GREEN APPLE,824725,https://open.spotify.com/track/1sIIlVrnPhrvmTrHtzM7tV,0.447,https://api.spotify.com/v1/audio-analysis/1sIIlVrnPhrvmTrHtzM7tV,0.502,307067,0.632,1sIIlVrnPhrvmTrHtzM7tV,0.0,0,0.103,-4.612,1,0.0273,152.014,4,https://api.spotify.com/v1/tracks/1sIIlVrnPhrvmTrHtzM7tV,audio_features,spotify:track:1sIIlVrnPhrvmTrHtzM7tV,0.308
21,22,Lovesick Girls,BLACKPINK,824577,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C,0.00668,https://api.spotify.com/v1/audio-analysis/4Ws314Ylb27BVsvlZOy30C,0.658,192760,0.733,4Ws314Ylb27BVsvlZOy30C,0.0,6,0.118,-4.756,1,0.0586,127.977,4,https://api.spotify.com/v1/tracks/4Ws314Ylb27BVsvlZOy30C,audio_features,spotify:track:4Ws314Ylb27BVsvlZOy30C,0.464
22,23,不可幸力,Vaundy,822783,https://open.spotify.com/track/65e5PmFI3cqoLEJYF3TfCG,0.0157,https://api.spotify.com/v1/audio-analysis/65e5PmFI3cqoLEJYF3TfCG,0.69,200243,0.815,65e5PmFI3cqoLEJYF3TfCG,2.85e-06,11,0.0636,-5.227,0,0.0426,94.032,4,https://api.spotify.com/v1/tracks/65e5PmFI3cqoLEJYF3TfCG,audio_features,spotify:track:65e5PmFI3cqoLEJYF3TfCG,0.613
23,24,Stay Gold,BTS,819553,https://open.spotify.com/track/3Ys2PYl1wyPKQIwyqhP9cQ,0.0892,https://api.spotify.com/v1/audio-analysis/3Ys2PYl1wyPKQIwyqhP9cQ,0.723,243267,0.634,3Ys2PYl1wyPKQIwyqhP9cQ,0.0,1,0.0787,-5.415,1,0.0542,129.017,4,https://api.spotify.com/v1/tracks/3Ys2PYl1wyPKQIwyqhP9cQ,audio_features,spotify:track:3Ys2PYl1wyPKQIwyqhP9cQ,0.582
24,25,Machigaisagashi,Masaki Suda,815621,https://open.spotify.com/track/4Jj31lihp5Nvdi4lFRjrqc,0.52,https://api.spotify.com/v1/audio-analysis/4Jj31lihp5Nvdi4lFRjrqc,0.534,223640,0.642,4Jj31lihp5Nvdi4lFRjrqc,0.0,2,0.39,-5.568,1,0.0372,155.916,4,https://api.spotify.com/v1/tracks/4Jj31lihp5Nvdi4lFRjrqc,audio_features,spotify:track:4Jj31lihp5Nvdi4lFRjrqc,0.443
25,26,マリーゴールド,Aimyon,811432,https://open.spotify.com/track/2cKiHG16JBiqHdi7Llq0r7,0.0452,https://api.spotify.com/v1/audio-analysis/2cKiHG16JBiqHdi7Llq0r7,0.545,306627,0.745,2cKiHG16JBiqHdi7Llq0r7,0.0,2,0.0907,-3.098,1,0.0286,106.094,4,https://api.spotify.com/v1/tracks/2cKiHG16JBiqHdi7Llq0r7,audio_features,spotify:track:2cKiHG16JBiqHdi7Llq0r7,0.413
26,27,ただ君に晴れ,ヨルシカ,809184,https://open.spotify.com/track/3wJHCry960drNlAUGrJLmz,0.343,https://api.spotify.com/v1/audio-analysis/3wJHCry960drNlAUGrJLmz,0.679,198971,0.834,3wJHCry960drNlAUGrJLmz,5.74e-06,5,0.119,-3.223,1,0.032,139.996,4,https://api.spotify.com/v1/tracks/3wJHCry960drNlAUGrJLmz,audio_features,spotify:track:3wJHCry960drNlAUGrJLmz,0.962
27,28,Lemon,Kenshi Yonezu,777912,https://open.spotify.com/track/4rvtqOGyTPZJwWtVTNdZbu,0.304,https://api.spotify.com/v1/audio-analysis/4rvtqOGyTPZJwWtVTNdZbu,0.525,255827,0.646,4rvtqOGyTPZJwWtVTNdZbu,0.0,11,0.297,-4.963,1,0.0268,86.957,4,https://api.spotify.com/v1/tracks/4rvtqOGyTPZJwWtVTNdZbu,audio_features,spotify:track:4rvtqOGyTPZJwWtVTNdZbu,0.373
28,29,Yesterday,Official HIGE DANdism,777331,https://open.spotify.com/track/1kMlcLyljkrShV0LSdSGBz,0.0442,https://api.spotify.com/v1/audio-analysis/1kMlcLyljkrShV0LSdSGBz,0.541,299164,0.8,1kMlcLyljkrShV0LSdSGBz,0.0,6,0.398,-3.687,1,0.0382,129.939,4,https://api.spotify.com/v1/tracks/1kMlcLyljkrShV0LSdSGBz,audio_features,spotify:track:1kMlcLyljkrShV0LSdSGBz,0.56
29,30,Ice Cream (with Selena Gomez),BLACKPINK,769852,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz,0.0374,https://api.spotify.com/v1/audio-analysis/4JUPEh2DVSXFGExu4Uxevz,0.785,175813,0.719,4JUPEh2DVSXFGExu4Uxevz,0.000108,4,0.0519,-3.886,1,0.354,159.953,4,https://api.spotify.com/v1/tracks/4JUPEh2DVSXFGExu4Uxevz,audio_features,spotify:track:4JUPEh2DVSXFGExu4Uxevz,0.887
30,31,Gurenge,LiSA,758208,https://open.spotify.com/track/23DbzwNJSLo7nkSWjODMvY,0.00339,https://api.spotify.com/v1/audio-analysis/23DbzwNJSLo7nkSWjODMvY,0.545,238587,0.979,23DbzwNJSLo7nkSWjODMvY,0.000118,4,0.0775,-2.8,0,0.153,135.002,4,https://api.spotify.com/v1/tracks/23DbzwNJSLo7nkSWjODMvY,audio_features,spotify:track:23DbzwNJSLo7nkSWjODMvY,0.309
31,32,Myra,Tani Yuuki,748647,https://open.spotify.com/track/5wc4f6crkCzAvwNhoEeMhh,0.71,https://api.spotify.com/v1/audio-analysis/5wc4f6crkCzAvwNhoEeMhh,0.683,255000,0.318,5wc4f6crkCzAvwNhoEeMhh,9.05e-05,0,0.167,-13.335,1,0.0349,144.027,4,https://api.spotify.com/v1/tracks/5wc4f6crkCzAvwNhoEeMhh,audio_features,spotify:track:5wc4f6crkCzAvwNhoEeMhh,0.587
32,33,ハルノヒ,Aimyon,746124,https://open.spotify.com/track/1oNeSCt0CMekCyyLo06kFs,0.261,https://api.spotify.com/v1/audio-analysis/1oNeSCt0CMekCyyLo06kFs,0.592,326867,0.672,1oNeSCt0CMekCyyLo06kFs,0.0,9,0.109,-2.447,1,0.0294,106.948,4,https://api.spotify.com/v1/tracks/1oNeSCt0CMekCyyLo06kFs,audio_features,spotify:track:1oNeSCt0CMekCyyLo06kFs,0.523
33,34,青と夏,Mrs. GREEN APPLE,743398,https://open.spotify.com/track/5BC6kr6etk2Y9J62AyI4i3,0.00157,https://api.spotify.com/v1/audio-analysis/5BC6kr6etk2Y9J62AyI4i3,0.31,270027,0.891,5BC6kr6etk2Y9J62AyI4i3,0.0,4,0.284,-1.66,1,0.0469,184.886,4,https://api.spotify.com/v1/tracks/5BC6kr6etk2Y9J62AyI4i3,audio_features,spotify:track:5BC6kr6etk2Y9J62AyI4i3,0.748
34,35,ノーダウト,Official HIGE DANdism,738237,https://open.spotify.com/track/5DMEvbg3gUmiR5HIBWdveV,0.0585,https://api.spotify.com/v1/audio-analysis/5DMEvbg3gUmiR5HIBWdveV,0.574,202395,0.936,5DMEvbg3gUmiR5HIBWdveV,0.0,2,0.336,-3.185,1,0.0701,149.954,4,https://api.spotify.com/v1/tracks/5DMEvbg3gUmiR5HIBWdveV,audio_features,spotify:track:5DMEvbg3gUmiR5HIBWdveV,0.792
35,36,僕のこと,Mrs. GREEN APPLE,733571,https://open.spotify.com/track/0tnhoHUrHfcLi9hPknUFZ4,0.0129,https://api.spotify.com/v1/audio-analysis/0tnhoHUrHfcLi9hPknUFZ4,0.439,321307,0.708,0tnhoHUrHfcLi9hPknUFZ4,0.0,7,0.147,-3.825,1,0.0528,160.027,4,https://api.spotify.com/v1/tracks/0tnhoHUrHfcLi9hPknUFZ4,audio_features,spotify:track:0tnhoHUrHfcLi9hPknUFZ4,0.454
36,37,花に亡霊,ヨルシカ,731531,https://open.spotify.com/track/3FUqp10RhCmMjyyB9extmo,0.573,https://api.spotify.com/v1/audio-analysis/3FUqp10RhCmMjyyB9extmo,0.646,241227,0.45,3FUqp10RhCmMjyyB9extmo,0.0,4,0.0768,-6.628,1,0.0482,90.01,4,https://api.spotify.com/v1/tracks/3FUqp10RhCmMjyyB9extmo,audio_features,spotify:track:3FUqp10RhCmMjyyB9extmo,0.413
37,38,ぎゅっと。,もさを。,709265,https://open.spotify.com/track/6nqfKM9JvQIiuAuzWZFvGW,0.814,https://api.spotify.com/v1/audio-analysis/6nqfKM9JvQIiuAuzWZFvGW,0.773,269747,0.363,6nqfKM9JvQIiuAuzWZFvGW,0.0,4,0.103,-7.304,1,0.0383,119.994,4,https://api.spotify.com/v1/tracks/6nqfKM9JvQIiuAuzWZFvGW,audio_features,spotify:track:6nqfKM9JvQIiuAuzWZFvGW,0.774
38,39,たぶん,YOASOBI,704911,https://open.spotify.com/track/62Lv9WcrfzJqhvYDbilJy3,0.146,https://api.spotify.com/v1/audio-analysis/62Lv9WcrfzJqhvYDbilJy3,0.747,258667,0.666,62Lv9WcrfzJqhvYDbilJy3,0.000912,5,0.0981,-6.395,1,0.0324,90.008,4,https://api.spotify.com/v1/tracks/62Lv9WcrfzJqhvYDbilJy3,audio_features,spotify:track:62Lv9WcrfzJqhvYDbilJy3,0.731
39,40,HELLO,Official HIGE DANdism,702883,https://open.spotify.com/track/2SzXlu48l0sqApK9hBWZtg,0.000764,https://api.spotify.com/v1/audio-analysis/2SzXlu48l0sqApK9hBWZtg,0.526,280453,0.883,2SzXlu48l0sqApK9hBWZtg,0.0,1,0.37,-4.335,0,0.035,126.968,4,https://api.spotify.com/v1/tracks/2SzXlu48l0sqApK9hBWZtg,audio_features,spotify:track:2SzXlu48l0sqApK9hBWZtg,0.538
40,41,パラボラ,Official HIGE DANdism,691892,https://open.spotify.com/track/51JOzfozDdPMKxyEccRltg,0.00175,https://api.spotify.com/v1/audio-analysis/51JOzfozDdPMKxyEccRltg,0.564,301060,0.765,51JOzfozDdPMKxyEccRltg,0.0,0,0.332,-5.484,0,0.0328,124.013,4,https://api.spotify.com/v1/tracks/51JOzfozDdPMKxyEccRltg,audio_features,spotify:track:51JOzfozDdPMKxyEccRltg,0.353
41,42,インフェルノ,Mrs. GREEN APPLE,678692,https://open.spotify.com/track/2vOAHp8PBBFYqvQUWSoITY,0.00894,https://api.spotify.com/v1/audio-analysis/2vOAHp8PBBFYqvQUWSoITY,0.533,211600,0.918,2vOAHp8PBBFYqvQUWSoITY,0.0,4,0.643,-2.095,1,0.0616,92.504,4,https://api.spotify.com/v1/tracks/2vOAHp8PBBFYqvQUWSoITY,audio_features,spotify:track:2vOAHp8PBBFYqvQUWSoITY,0.662
42,43,馬と鹿,Kenshi Yonezu,639826,https://open.spotify.com/track/19op3QHIz9Aq5VdwsASXIz,0.0978,https://api.spotify.com/v1/audio-analysis/19op3QHIz9Aq5VdwsASXIz,0.643,265333,0.447,19op3QHIz9Aq5VdwsASXIz,0.0,3,0.286,-6.411,1,0.0256,91.019,4,https://api.spotify.com/v1/tracks/19op3QHIz9Aq5VdwsASXIz,audio_features,spotify:track:19op3QHIz9Aq5VdwsASXIz,0.676
43,44,未完成,Leo Ieiri,615040,https://open.spotify.com/track/10mmoWFRBG9mlLekSWYzWT,0.163,https://api.spotify.com/v1/audio-analysis/10mmoWFRBG9mlLekSWYzWT,0.66,240547,0.722,10mmoWFRBG9mlLekSWYzWT,0.0,7,0.306,-3.525,1,0.0344,90.116,4,https://api.spotify.com/v1/tracks/10mmoWFRBG9mlLekSWYzWT,audio_features,spotify:track:10mmoWFRBG9mlLekSWYzWT,0.425
44,45,Whenever You Call,ARASHI,606821,https://open.spotify.com/track/4itdOvg6V8hjTOQUeaGHWt,0.038,https://api.spotify.com/v1/audio-analysis/4itdOvg6V8hjTOQUeaGHWt,0.516,193317,0.682,4itdOvg6V8hjTOQUeaGHWt,0.0,0,0.0907,-6.913,1,0.0338,179.862,4,https://api.spotify.com/v1/tracks/4itdOvg6V8hjTOQUeaGHWt,audio_features,spotify:track:4itdOvg6V8hjTOQUeaGHWt,0.121
45,46,Night Diver,三浦春馬,603614,https://open.spotify.com/track/5hcWlcZE9vFMeaFaTjo1Zf,0.0354,https://api.spotify.com/v1/audio-analysis/5hcWlcZE9vFMeaFaTjo1Zf,0.682,203085,0.862,5hcWlcZE9vFMeaFaTjo1Zf,0.0,7,0.341,-4.824,1,0.172,122.975,4,https://api.spotify.com/v1/tracks/5hcWlcZE9vFMeaFaTjo1Zf,audio_features,spotify:track:5hcWlcZE9vFMeaFaTjo1Zf,0.643
46,47,Not Shy,ITZY,587233,https://open.spotify.com/track/4ecVWqbtW6phQGpZMAyqIU,0.155,https://api.spotify.com/v1/audio-analysis/4ecVWqbtW6phQGpZMAyqIU,0.776,177728,0.911,4ecVWqbtW6phQGpZMAyqIU,2.59e-06,2,0.268,-3.08,0,0.131,101.027,4,https://api.spotify.com/v1/tracks/4ecVWqbtW6phQGpZMAyqIU,audio_features,spotify:track:4ecVWqbtW6phQGpZMAyqIU,0.56
47,48,How You Like That,BLACKPINK,580683,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o,0.0375,https://api.spotify.com/v1/audio-analysis/4SFknyjLcyTLJFPKD2m96o,0.812,180947,0.8,4SFknyjLcyTLJFPKD2m96o,0.000112,11,0.0638,-4.282,1,0.077,130.036,4,https://api.spotify.com/v1/tracks/4SFknyjLcyTLJFPKD2m96o,audio_features,spotify:track:4SFknyjLcyTLJFPKD2m96o,0.357
48,49,PLACEBO,Kenshi Yonezu,572715,https://open.spotify.com/track/6MCqARqpbUAGUIvWh8bxaw,0.0714,https://api.spotify.com/v1/audio-analysis/6MCqARqpbUAGUIvWh8bxaw,0.77,240253,0.852,6MCqARqpbUAGUIvWh8bxaw,0.0,6,0.063,-5.564,1,0.0789,113.967,4,https://api.spotify.com/v1/tracks/6MCqARqpbUAGUIvWh8bxaw,audio_features,spotify:track:6MCqARqpbUAGUIvWh8bxaw,0.833
49,50,"Stand by me, Stand by you.",HIRAIDAI,500119,https://open.spotify.com/track/2RbVD1IgXtyQFlLtbthaZ3,0.0892,https://api.spotify.com/v1/audio-analysis/2RbVD1IgXtyQFlLtbthaZ3,0.594,193013,0.568,2RbVD1IgXtyQFlLtbthaZ3,0.0,3,0.0535,-5.423,1,0.0383,161.887,4,https://api.spotify.com/v1/tracks/2RbVD1IgXtyQFlLtbthaZ3,audio_features,spotify:track:2RbVD1IgXtyQFlLtbthaZ3,0.58
